epoch,train loss,val loss,swa
0.0,3.9808339748439714,3.9633303827905126,n
19.0,2.7308767431478507,2.8188730759814216,y
39.0,2.539875707694478,2.748026242115401,y
59.0,2.456772626559013,2.7860829016379323,y
79.0,2.4081062561742006,2.8188865241969205,y
99.0,2.3753617590653455,2.815842674667105,y
