epoch,train loss,val loss,swa
0.0,3.9865426499053997,4.027425130794849,n
19.0,2.7751492779769773,3.0606321910210643,y
39.0,2.583566901760185,3.044200684311645,y
59.0,2.465391604959154,3.014477637421161,y
79.0,2.405929205686328,3.0100567895108044,y
99.0,2.3724677826463147,3.041058080222774,y
119.0,2.355204040593721,3.0130412209077955,y
139.0,2.337785100079704,3.019709216712586,y
159.0,2.328659694077755,3.0300093612107846,y
179.0,2.3159021492184624,3.0352831784209644,y
199.0,2.3088777152094653,3.0233754513448456,y
219.0,2.3045811750394845,3.0112672661503304,y
239.0,2.2952357949021502,3.0114566787142594,y
259.0,2.2971896816986885,3.0322443620745108,y
279.0,2.2892403591061057,3.041891017083312,y
299.0,2.288976830033889,3.0414221489121553,y
