epoch,train loss,val loss,swa
0.0,3.9709032753366125,4.018246226645044,n
19.0,2.7566598943093594,3.033086143296583,y
39.0,2.566421888423532,3.001496761047532,y
59.0,2.4599488272758143,3.0255203229474845,y
79.0,2.4036442582907833,3.010193900428575,y
99.0,2.367430112910837,3.013042971656771,y
119.0,2.34785373701591,3.033812881835712,y
139.0,2.3357164667454366,3.036524569416398,y
159.0,2.323948530536501,3.024684560254931,y
179.0,2.3148655243583693,3.0252220463488815,y
199.0,2.303154918723844,3.0329842831375853,y
219.0,2.29701416056726,3.0270955369041417,y
239.0,2.2957734085222796,3.024507279765562,y
259.0,2.28971598840139,3.028755392975473,y
279.0,2.2826745152940506,3.051342667688743,y
