epoch,train loss,val loss,swa
0.0,3.981879413718588,4.023225882836374,n
19.0,2.740306877710765,3.0093416674990494,y
39.0,2.5515669515314783,3.0015959484550785,y
59.0,2.4598438692521487,3.0125993283472376,y
79.0,2.403629985375458,3.008179574874934,y
99.0,2.366870574452246,3.022592827842684,y
119.0,2.3558269175111657,3.0111514642229817,y
139.0,2.335066602866917,3.00300834627609,y
159.0,2.323036084446552,3.0192435060479985,y
179.0,2.315580937356327,3.041200919344856,y
199.0,2.3059354141083257,3.0253701482751714,y
219.0,2.3061504108506323,3.0262833468588517,y
239.0,2.299918070287852,3.0188174142168895,y
259.0,2.2974093865897696,3.036084675700902,y
279.0,2.2887183473692096,3.0434885148192685,y
