reduced_formulas,etl,htl,bandgap,device_stack,pce,etl_SMILES,htl_SMILES
B57C20F228H120I3N20Pb20,"['TiO2-c', 'TiO2-mp', 'ZrO2-mp']",['none'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'ZrO2-mp', 'Perovskite', 'Carbon']",8.49,"['O=[Ti]=O', 'O=[Ti]=O', 'O=[Zr]=O']",['no_ctl']
B59C20F236H120IN20Pb20,"['TiO2-c', 'TiO2-mp', 'ZrO2-mp']",['none'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'ZrO2-mp', 'Perovskite', 'Carbon']",12.74,"['O=[Ti]=O', 'O=[Ti]=O', 'O=[Zr]=O']",['no_ctl']
BC20F4H120I59N20Pb20,"['TiO2-c', 'TiO2-mp', 'ZrO2-mp']",['none'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'ZrO2-mp', 'Perovskite', 'Carbon']",13.0925,"['O=[Ti]=O', 'O=[Ti]=O', 'O=[Zr]=O']",['no_ctl']
Ba2Br5Cs5I10Pb3,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.8120001932156287,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",8.4,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Ba3Br10Cs10I20Pb7,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.8390001960946694,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",11.7,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Ba3Br300Cs100Pb97,"['TiO2-c', 'TiO2-mp']",['none'],2.2700002420526912,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Carbon']",9.0,"['O=[Ti]=O', 'O=[Ti]=O']",['no_ctl']
Ba3C100H600I300N100Pb97,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",14.0,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaBr10Cs10I20Pb9,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.8930002018527508,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",13.3,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaBr5Cs5I10Pb4,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.865000198867079,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",14.0,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaBr5Cs5I10Pb4,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.86600019897371,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",14.0,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
